Group,Model,Feature,Importance,Importance_SD,Method,Rank
non-AD,Random Forest,casi_short_term_memory_min,0.002215084201766071,0.001788203915740455,Permutation importance (test RMSE),14
non-AD,Random Forest,casi_verbal_fluency_mean,0.0021563606877272766,0.0013497351074391473,Permutation importance (test RMSE),15
non-AD,Random Forest,casi_orientation_last,0.002151306934999997,0.0008221768569579126,Permutation importance (test RMSE),16
non-AD,Random Forest,casi_language_missing_mean,0.00205365295958522,0.001274380553974214,Permutation importance (test RMSE),17
non-AD,Random Forest,fasting_glucose_mean,0.0017075033678360997,0.00036786879027957115,Permutation importance (test RMSE),18
non-AD,Random Forest,casi_mental_manipulation_min,0.001597157252571557,0.0018983284169818444,Permutation importance (test RMSE),19
non-AD,Random Forest,casi_mental_manipulation_missing_mean,0.001577681782385934,0.0013228463790404767,Permutation importance (test RMSE),20
non-AD,SVM,mmse_last,0.006451728900523318,0.0012176601831370643,Permutation importance (test RMSE),1
non-AD,SVM,mmse_min,0.005804352254086598,0.001026559394673587,Permutation importance (test RMSE),2
non-AD,SVM,cdr_community_last,0.004688012817272158,0.0007835998962399368,Permutation importance (test RMSE),3
non-AD,SVM,cdr_sob_last,0.004634752455145802,0.0007887991008028757,Permutation importance (test RMSE),4
non-AD,SVM,casi_total_last,0.004631117446778049,0.0009052593249871502,Permutation importance (test RMSE),5
non-AD,SVM,mmse_mean,0.004481544915434765,0.0007370685028587368,Permutation importance (test RMSE),6
non-AD,SVM,cdr_community_max,0.004429716837698527,0.0008240218399322005,Permutation importance (test RMSE),7
non-AD,SVM,cdr_sob_max,0.004385644908566555,0.0008282598458814222,Permutation importance (test RMSE),8
non-AD,SVM,cdr_orientation_last,0.004373933280853714,0.0008254663481881706,Permutation importance (test RMSE),9
non-AD,SVM,cdr_home_hobbies_last,0.004190538845921454,0.000723245487796426,Permutation importance (test RMSE),10
non-AD,SVM,casi_orientation_last,0.0041698363725922675,0.0009785824979599525,Permutation importance (test RMSE),11
non-AD,SVM,casi_total_min,0.004122146292623402,0.0009228072452152656,Permutation importance (test RMSE),12
non-AD,SVM,cdr_home_hobbies_max,0.004069806747762755,0.0007282585623169995,Permutation importance (test RMSE),13
non-AD,SVM,cdr_memory_last,0.0037590645369255716,0.0007407010398957655,Permutation importance (test RMSE),14
non-AD,SVM,cdr_judgment_last,0.00369895008682814,0.0007177077988091057,Permutation importance (test RMSE),15
non-AD,SVM,cdr_orientation_max,0.003695280633035669,0.0009086615073759264,Permutation importance (test RMSE),16
non-AD,SVM,casi_orientation_min,0.0036823856343679573,0.0010448596115243329,Permutation importance (test RMSE),17
non-AD,SVM,cdr_judgment_max,0.0036526163174872618,0.0008032425582696588,Permutation importance (test RMSE),18
non-AD,SVM,cdr_personal_care_max,0.003623663460161297,0.0006141652427355777,Permutation importance (test RMSE),19
non-AD,SVM,casi_long_term_memory_min,0.003505669287931568,0.0007517521311792133,Permutation importance (test RMSE),20
non-AD,XGBoost,mmse_last,0.1972513361053302,0.05037366046858027,Permutation importance (test RMSE),1
non-AD,XGBoost,mmse_min,0.05528705920386442,0.031438689322023254,Permutation importance (test RMSE),2
non-AD,XGBoost,casi_abstraction_min,0.0102499102934555,0.004863799433227266,Permutation importance (test RMSE),3
non-AD,XGBoost,casi_language_mean,0.008841538253344935,0.007671804330611421,Permutation importance (test RMSE),4
non-AD,XGBoost,mmse_mean,0.00856312941678172,0.016477682621441662,Permutation importance (test RMSE),5
non-AD,XGBoost,fasting_glucose_mean,0.004705147890094305,0.004100839656080113,Permutation importance (test RMSE),6
non-AD,XGBoost,casi_language_max,0.004587716052661006,0.007346103001742031,Permutation importance (test RMSE),7
non-AD,XGBoost,fasting_glucose_last,0.004552937285666326,0.003398208338511288,Permutation importance (test RMSE),8
non-AD,XGBoost,history_span_days,0.0041885765966050235,0.002764416786437001,Permutation importance (test RMSE),9
non-AD,XGBoost,casi_short_term_memory_mean,0.0035169130081383502,0.00308218077075812,Permutation importance (test RMSE),10
non-AD,XGBoost,casi_mental_manipulation_max,0.0033482510262997254,0.0031618523471954613,Permutation importance (test RMSE),11
non-AD,XGBoost,age_first_mmse_last,0.003250311359651342,0.005284778791578713,Permutation importance (test RMSE),12
non-AD,XGBoost,casi_total_min,0.003248377431110955,0.0012260181739349749,Permutation importance (test RMSE),13
non-AD,XGBoost,casi_attention_min,0.0030745005206498062,0.0015438303219255745,Permutation importance (test RMSE),14
non-AD,XGBoost,casi_orientation_max,0.002645001777485642,0.0008845869537157938,Permutation importance (test RMSE),15
non-AD,XGBoost,casi_abstraction_last,0.0026065376495230303,0.0013443148999400494,Permutation importance (test RMSE),16
non-AD,XGBoost,vldl_last,0.0021061647026743373,0.000989849834082153,Permutation importance (test RMSE),17
non-AD,XGBoost,casi_short_term_memory_min,0.0020933353277753615,0.001269558093541367,Permutation importance (test RMSE),18
non-AD,XGBoost,visit_gap_log_mean,0.0020094411138727787,0.0009853334994820537,Permutation importance (test RMSE),19
non-AD,XGBoost,casi_language_std,0.001889742024443436,0.0007687704695451106,Permutation importance (test RMSE),20
